DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
11/17,3:00 PM,3:00 PM,1,Philadelphia 76ers,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
11/17,3:30 PM,12:30 PM,1,Boston Celtics,Sacramento Kings,1,Golden 1 Center
11/17,6:00 PM,5:00 PM,2,Denver Nuggets,Memphis Grizzlies,1,FedExForum
11/17,6:00 PM,6:00 PM,1,Washington Wizards,Orlando Magic,1,Amway Center
11/17,7:00 PM,6:00 PM,1,Golden State Warriors,New Orleans Pelicans,3IN4-B2B,Smoothie King Center
11/17,9:30 PM,6:30 PM,3IN4-B2B,Atlanta Hawks,Los Angeles Lakers,1,Staples Center
11/18,7:00 PM,7:00 PM,B2B,Cleveland Cavaliers,New York Knicks,1,Madison Square Garden
11/18,7:30 PM,7:30 PM,3IN4,Indiana Pacers,Brooklyn Nets,1,Barclays Center
11/18,7:30 PM,7:30 PM,3IN4,Charlotte Hornets,Toronto Raptors,1,Scotiabank Arena
11/18,8:00 PM,7:00 PM,1,Milwaukee Bucks,Chicago Bulls,1,United Center
11/18,8:00 PM,7:00 PM,1,Portland Trail Blazers,Houston Rockets,3IN4,Toyota Center
11/18,8:30 PM,7:30 PM,3IN4,San Antonio Spurs,Dallas Mavericks,1,American Airlines Center
11/18,9:00 PM,6:00 PM,3IN4-B2B,Boston Celtics,Phoenix Suns,3+,Talking Stick Resort Arena
11/18,9:00 PM,7:00 PM,3IN4,Minnesota Timberwolves,Utah Jazz,2,Vivint Smart Home Arena
11/18,10:30 PM,7:30 PM,2,Oklahoma City Thunder,Los Angeles Clippers,1,Staples Center
11/19,8:00 PM,7:00 PM,1,Golden State Warriors,Memphis Grizzlies,1,FedExForum
11/19,8:00 PM,7:00 PM,3IN4-B2B,Portland Trail Blazers,New Orleans Pelicans,3IN4,Smoothie King Center
11/19,10:00 PM,7:00 PM,B2B,Phoenix Suns,Sacramento Kings,1,Golden 1 Center
11/19,10:30 PM,7:30 PM,B2B,Oklahoma City Thunder,Los Angeles Lakers,1,Staples Center
11/20,7:00 PM,7:00 PM,1,New York Knicks,Philadelphia 76ers,2,Wells Fargo Center
11/20,7:00 PM,7:00 PM,1,San Antonio Spurs,Washington Wizards,2,Capital One Arena
11/20,7:30 PM,7:30 PM,1,Milwaukee Bucks,Atlanta Hawks,2,State Farm Arena
11/20,7:30 PM,7:30 PM,1,Charlotte Hornets,Brooklyn Nets,1,Barclays Center
11/20,7:30 PM,7:30 PM,3IN4,Cleveland Cavaliers,Miami Heat,3+,American Airlines Arena
11/20,7:30 PM,6:30 PM,3IN4-B2B,Golden State Warriors,Dallas Mavericks,1,American Airlines Center
11/20,7:30 PM,7:30 PM,2,Orlando Magic,Toronto Raptors,1,Scotiabank Arena
11/20,8:00 PM,7:00 PM,3+,Detroit Pistons,Chicago Bulls,1,United Center
11/20,8:00 PM,7:00 PM,1,Utah Jazz,Minnesota Timberwolves,1,Target Center
11/20,9:00 PM,7:00 PM,1,Houston Rockets,Denver Nuggets,2,Pepsi Center
11/20,10:00 PM,7:00 PM,3IN4,Boston Celtics,Los Angeles Clippers,1,Staples Center
11/21,8:00 PM,7:00 PM,3IN4,Portland Trail Blazers,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
11/21,10:30 PM,7:30 PM,1,New Orleans Pelicans,Phoenix Suns,3IN4,Talking Stick Resort Arena
11/22,7:00 PM,7:00 PM,1,Atlanta Hawks,Detroit Pistons,1,Little Caesars Arena
11/22,7:00 PM,7:00 PM,1,Charlotte Hornets,Washington Wizards,1,Capital One Arena
11/22,7:30 PM,7:30 PM,2,Sacramento Kings,Brooklyn Nets,1,Barclays Center
11/22,8:00 PM,7:00 PM,1,Miami Heat,Chicago Bulls,1,United Center
11/22,8:00 PM,7:00 PM,2,Los Angeles Lakers,Oklahoma City Thunder,2,Chesapeake Energy Arena
11/22,8:00 PM,8:00 PM,1,San Antonio Spurs,Philadelphia 76ers,1,Wells Fargo Center
11/22,8:30 PM,7:30 PM,1,Cleveland Cavaliers,Dallas Mavericks,1,American Airlines Center
11/22,9:00 PM,7:00 PM,1,Boston Celtics,Denver Nuggets,1,Pepsi Center
11/22,9:00 PM,7:00 PM,3IN4,Golden State Warriors,Utah Jazz,1,Vivint Smart Home Arena
11/22,10:30 PM,7:30 PM,1,Houston Rockets,Los Angeles Clippers,1,Staples Center
11/23,5:00 PM,4:00 PM,1,Phoenix Suns,Minnesota Timberwolves,2,Target Center
11/23,7:00 PM,7:00 PM,3IN4-B2B,Chicago Bulls,Charlotte Hornets,3IN4-B2B,Spectrum Center
11/23,7:00 PM,7:00 PM,2,Orlando Magic,Indiana Pacers,3+,Bankers Life Fieldhouse
11/23,7:30 PM,7:30 PM,2,Toronto Raptors,Atlanta Hawks,3IN4-B2B,State Farm Arena
11/23,7:30 PM,7:30 PM,3IN4-B2B,Miami Heat,Philadelphia 76ers,3IN4-B2B,Wells Fargo Center
11/23,7:30 PM,7:30 PM,3IN4-B2B,San Antonio Spurs,New York Knicks,2,Madison Square Garden
11/23,8:00 PM,8:00 PM,1,Portland Trail Blazers,Cleveland Cavaliers,3IN4-B2B,Rocket Mortgage FieldHouse
11/23,8:00 PM,7:00 PM,B2B,Los Angeles Lakers,Memphis Grizzlies,3+,FedExForum
11/23,8:30 PM,7:30 PM,3IN4-B2B,Detroit Pistons,Milwaukee Bucks,3IN4,Fiserv Forum
11/23,9:00 PM,7:00 PM,1,New Orleans Pelicans,Utah Jazz,3IN4-B2B,Vivint Smart Home Arena
11/24,3:30 PM,2:30 PM,1,Dallas Mavericks,Houston Rockets,1,Toyota Center
11/24,6:00 PM,6:00 PM,1,Brooklyn Nets,New York Knicks,B2B,Madison Square Garden
11/24,6:00 PM,6:00 PM,1,Sacramento Kings,Washington Wizards,1,Capital One Arena
11/24,8:00 PM,6:00 PM,3IN4-B2B,Phoenix Suns,Denver Nuggets,1,Pepsi Center
11/24,9:00 PM,6:00 PM,3IN4-B2B,New Orleans Pelicans,Los Angeles Clippers,1,Staples Center
